Afghanistan,Afghanistan,AFG,40462186,Asia,177827,7671,4395,190,4.313743132
Albania,Albania,ALB,2872296,Europe,273870,3492,95349,1216,1.275057509
Algeria,Algeria,DZA,45236699,Africa,265691,6874,5873,152,2.587215976
Andorra,Andorra,AND,77481,Europe,40024,153,516565,1975,0.382270638
Angola,Angola,AGO,34654212,Africa,99194,1900,2862,55,1.915438434
Anguilla,Anguilla,AIA,15237,Latin America and the Caribbean,2700,9,177200,591,0.333333333
Antigua and Barbuda,Antigua and Barbuda,ATG,99348,Latin America and the Caribbean,7493,135,75422,1359,1.801681569
Argentina,Argentina,ARG,45921761,Latin America and the Caribbean,9041124,128065,196881,2789,1.416472111
Armenia,Armenia,ARM,2972939,Asia,422574,8617,142140,2898,2.039169471
Aruba,Aruba,ABW,107560,Latin America and the Caribbean,34051,212,316577,1971,0.622595518
Australia,Australia,AUS,26017767,Oceania,4680816,6384,179908,245,0.136386476
Austria,Austria,AUT,9096360,Europe,3887355,15985,427353,1757,0.411205048
Azerbaijan,Azerbaijan,AZE,10299156,Asia,792061,9697,76905,942,1.224274393
Bahamas,Bahamas,BHM,399822,Latin America and the Caribbean,33295,788,83275,1971,2.36672173
Bahrain,Bahrain,BHR,1804995,Asia,556241,1471,308168,815,0.264453717
Bangladesh,Bangladesh,BGD,167561502,Asia,1951770,29122,11648,174,1.492081546
Barbados,Barbados,BRB,287991,Latin America and the Caribbean,59938,375,208125,1302,0.625646501
Belarus,Belarus,BLR,9443882,Europe,965322,6844,102217,725,0.708986224
Belgium,Belgium,BEL,11677924,Europe,3851048,30826,329772,2640,0.800457434
Belize,Belize,BLZ,410260,Latin America and the Caribbean,57289,656,139641,1599,1.14507148
Benin,Benin,BEN,12678649,Africa,26952,163,2126,13,0.604778866
Bermuda,Bermuda,BMU,61875,Northern America,12564,128,203055,2069,1.018783827
Bhutan,Bhutan,BTN,786480,Asia,31437,12,39972,15,0.038171581
Bolivia,Bolivia (Plurinational State of),BOL,11951714,Latin America and the Caribbean,902448,21896,75508,1832,2.426289382
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,3245097,Europe,375693,15719,115773,4844,4.184001299
Botswana,Botswana,BWA,2434708,Africa,305526,2686,125488,1103,0.879139582
Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068,2.200910166
British Virgin Islands,British Virgin Islands,VGB,30583,Latin America and the Caribbean,6155,62,201256,2027,1.007311129
Brunei ,Brunei Darussalam,BRN,444812,Asia,135974,213,305689,479,0.156647594
Bulgaria,Bulgaria,BGR,6856886,Europe,1140679,36568,166355,5333,3.205809873
Burkina Faso,Burkina Faso,BFA,21905848,Africa,20853,382,952,17,1.831870714
Burundi,Burundi,BDI,12510155,Africa,38519,38,3079,3,0.098652613
Cabo Verde,Cabo Verde,CPV,566557,Africa,55960,401,98772,708,0.716583274
Cambodia,Cambodia,KHM,17123941,Asia,135747,3054,7927,178,2.249773476
Cameroon,Cameroon,CMR,27701805,Africa,119544,1927,4315,70,1.611958777
Canada,Canada,CAN,38321435,Northern America,3499226,37690,91312,984,1.077095335
CAR,Central African Republic,CAF,4976719,Africa,14649,113,2944,23,0.771383712
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",BES,26650,Latin America and the Caribbean,8574,33,321726,1238,0.384884535
Cayman Islands,Cayman Islands,CYM,67073,Latin America and the Caribbean,20606,24,307218,358,0.116470931
Chad,Chad,TCD,17250246,Africa,7308,191,424,11,2.613574165
Channel Islands,Guernsey,GGY,176668,Europe,69036,156,390767,883,0.22596906
Chile,Chile,CHL,19403451,Latin America and the Caribbean,3486653,56750,179692,2925,1.627635443
China,China,CHN,1439323776,Asia,154738,4638,108,3,2.99732451
Colombia,Colombia,COL,51832231,Latin America and the Caribbean,6085926,139660,117416,2694,2.294802796
Comoros,Comoros,COM,902011,Africa,8093,160,8972,177,1.977017175
Congo,Congo,COG,5755689,Africa,24071,385,4182,67,1.599435005
Cook Islands,Cook Islands,COK,17592,Oceania,2118,0,120396,0,0
Costa Rica,Costa Rica,CRI,5175547,Latin America and the Caribbean,839368,8308,162180,1605,0.98979232
Croatia,Croatia,HRV,4060951,Europe,1102730,15601,271545,3842,1.414761546
Cuba,Cuba,CUB,11314513,Latin America and the Caribbean,1092547,8514,96562,752,0.779279976
Curaçao,Curaçao,CUW,165268,Latin America and the Caribbean,40671,267,246091,1616,0.656487423
Cyprus,Cyprus,CYP,1222745,Asia,439964,947,359817,774,0.215244884
Czechia,Czech Republic,CZE,10743762,Europe,3830631,39720,356545,3697,1.036904886
Denmark,Denmark,DNK,5827911,Europe,2919428,5762,500939,989,0.19736743
Djibouti,Djibouti,DJI,1013146,Africa,15590,189,15388,187,1.212315587
Dominica,Dominica,DMA,72299,Latin America and the Caribbean,11891,63,164470,871,0.529812463
Dominican Republic,Dominican Republic,DOM,11038333,Latin America and the Caribbean,578130,4375,52375,396,0.756750212
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,94323344,Africa,86748,1337,920,14,1.541245908
Ecuador,Ecuador,ECU,18111933,Latin America and the Caribbean,859890,35421,47476,1956,4.119247811
Egypt,Egypt,EGY,105711844,Africa,505264,24417,4780,231,4.832523196
El Salvador,El Salvador,SLV,6543499,Latin America and the Caribbean,161570,4120,24692,630,2.549978338
Equatorial Guinea,Equatorial Guinea,GNQ,1483588,Africa,15903,183,10719,123,1.150726278
Eritrea,Eritrea,ERI,3632329,Africa,9728,103,2678,28,1.058799342
Estonia,Estonia,EST,1328097,Europe,558706,2468,420682,1858,0.441735009
Eswatini,Eswatini,SWZ,1181191,Africa,69851,1394,59136,1180,1.995676511
Ethiopia,Ethiopia,ETH,119945147,Africa,469819,7504,3917,63,1.597210841
Faeroe Islands,Faeroe Islands,FRO,49188,Europe,34237,28,696044,569,0.081782866
Falkland Islands,Falkland Islands (Malvinas),FLK,3657,Latin America and the Caribbean,123,0,33634,0,0
Fiji,Fiji,FJI,907817,Oceania,64422,834,70964,919,1.294588805
Finland,Finland,FIN,5555788,Europe,889626,3178,160126,572,0.357228768
France,France,FRA,65526369,Europe,25997852,142506,396754,2175,0.548145285
French Guiana,French Guiana,GUF,312224,Latin America and the Caribbean,79075,394,253264,1262,0.498261144
French Polynesia,French Polynesia,PYF,283751,Oceania,72318,646,254864,2277,0.893276916
Gabon,Gabon,GAB,2317612,Africa,47586,303,20532,131,0.636741899
Gambia,Gambia,GMB,2535418,Africa,11988,365,4728,144,3.044711378
Georgia,Georgia,GEO,3975762,Asia,1649222,16756,414819,4215,1.015994208
Germany,Germany,DEU,84252947,Europe,21646375,130563,256921,1550,0.603163347
Ghana,Ghana,GHA,32207812,Africa,160971,1445,4998,45,0.897677221
Gibraltar,Gibraltar,GIB,33673,Europe,16979,101,504232,2999,0.594852465
Greece,Greece,GRC,10333930,Europe,3077711,27684,297826,2679,0.899499661
Greenland,Greenland,GRL,56942,Northern America,11971,21,210231,369,0.175423941
Grenada,Grenada,GRD,113436,Latin America and the Caribbean,14024,218,123629,1922,1.554478038
Guadeloupe,Guadeloupe,GLP,400244,Latin America and the Caribbean,130705,843,326563,2106,0.64496385
Guatemala,Guatemala,GTM,18495493,Latin America and the Caribbean,830745,17325,44916,937,2.085477493
Guinea,Guinea,GIN,13755881,Africa,36459,440,2650,32,1.206835075
Guinea-Bissau,Guinea-Bissau,GNB,2049374,Africa,8151,170,3977,83,2.085633665
Guyana,Guyana,GUY,793196,Latin America and the Caribbean,63272,1226,79768,1546,1.93766595
Haiti,Haiti,HTI,11645833,Latin America and the Caribbean,30549,833,2623,72,2.726766834
Honduras,Honduras,HND,10180299,Latin America and the Caribbean,421062,10880,41360,1069,2.583942507
Hong Kong,"China, Hong Kong Special Administrative Region",HKG,7603455,Asia,1171422,8172,154064,1075,0.69761367
Hungary,Hungary,HUN,9617409,Europe,1854198,45510,192796,4732,2.454430433
Iceland,Iceland,ISL,345120,Europe,181830,101,526860,293,0.055546389
India,India,IND,1403754381,Asia,43029044,521388,30653,371,1.211711792
Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557,2.579543025
Iran,United Kingdom,IRN,85874667,Asia,7167646,140315,83466,1634,1.95761621
Iraq,Iraq,IRQ,41801625,Asia,2320260,25173,55506,602,1.084921517
Ireland,Ireland,IRL,5034333,Europe,1471210,6786,292235,1348,0.461252982
Isle of Man,Isle of Man,IMN,85821,Europe,28416,84,331108,979,0.295608108
Israel,Israel,ISR,9326000,Asia,3943153,10530,422813,1129,0.267045179
Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650,1.076239176
Ivory Coast,CÃ´te d'Ivoire,CIV,27520953,Africa,81761,796,2971,29,0.973569306
Jamaica,Jamaica,JAM,2983794,Latin America and the Caribbean,128811,2893,43170,970,2.245926202
Japan,Japan,JPN,125798669,Asia,6653841,28248,52893,225,0.424536745
Jordan,Jordan,JOR,10380442,Asia,1689314,14003,162740,1349,0.828916353
Kazakhstan,Kazakhstan,KAZ,19169833,Asia,1305188,13660,68086,713,1.046592522
Kenya,Kenya,KEN,55843563,Africa,323454,5648,5792,101,1.746152467
Kiribati,Kiribati,KIR,122656,Oceania,3067,13,25005,106,0.423866971
Kuwait,Kuwait,KWT,4381108,Asia,629525,2554,143691,583,0.405702712
Kyrgyzstan,Kyrgyzstan,KGZ,6712569,Asia,200968,2991,29939,446,1.488296644
Laos,Lao People's Democratic Republic,LAO,7460338,Asia,183560,679,24605,91,0.369906298
Latvia,Latvia,LVA,1849698,Europe,802534,5643,433873,3051,0.703147779
Lebanon,Lebanon,LBN,6771939,Asia,1092995,10315,161401,1523,0.943737163
Lesotho,Lesotho,LSO,2171978,Africa,32910,697,15152,321,2.117897296
Liberia,Liberia,LBR,5265647,Africa,7400,294,1405,56,3.972972973
Libya,Libya,LBY,7034832,Africa,501738,6419,71322,912,1.279352969
Liechtenstein,Liechtenstein,LIE,38320,Europe,16429,84,428732,2192,0.51129101
Lithuania,Lithuania,LTU,2655811,Europe,1030966,8907,388193,3354,0.863947017
Luxembourg,Luxembourg,LUX,643801,Europe,216979,1037,337028,1611,0.477926435
Macao,"China, Macao Special Administrative Region",MAC,664828,Asia,82,0,123,0,0
Madagascar,Madagascar,MDG,28936285,Africa,64050,1388,2213,48,2.167056987
Malawi,Malawi,MWI,19994654,Africa,85664,2626,4284,131,3.065465073
Malaysia,Malaysia,MYS,33091831,Asia,4246467,35099,128324,1061,0.826545926
Maldives,Maldives,MDV,557204,Asia,176993,298,317645,535,0.168368241
Mali,Mali,MLI,21271006,Africa,30495,728,1434,34,2.387276603
Malta,Malta,MLT,443602,Europe,81596,641,183940,1445,0.785577724
Marshall Islands,Marshall Islands,MHL,59889,Oceania,7,0,117,0,0
Martinique,Martinique,MTQ,374756,Latin America and the Caribbean,141415,909,377352,2426,0.642788954
Mauritania,Mauritania,MRT,4863443,Africa,58670,982,12063,202,1.673768536
Mauritius,Mauritius,MUS,1275463,Africa,36628,968,28717,759,2.642786939
Mayotte,Mayotte,MYTÂ ,284330,Africa,36891,187,129747,658,0.506898702
Mexico,Mexico,MEX,131303955,Latin America and the Caribbean,5665376,323212,43147,2462,5.705040583
Micronesia,Micronesia (Federated States of),FSM,117134,Oceania,1,0,9,0,0
Moldova,Republic of Moldova,MDA,4017550,Europe,514199,11446,127988,2849,2.225986437
Monaco,Monaco,MCO,39729,Europe,10842,54,272899,1359,0.498063088
Mongolia,Mongolia,MNG,3370682,Asia,468610,2177,139025,646,0.464565417
Montenegro,,MNE,628205,Europe,233326,2705,371417,4306,1.15932215
Montserrat,Montserrat,MSR,4997,Latin America and the Caribbean,175,2,35021,400,1.142857143
Morocco,Morocco,MAR,37676342,Africa,1163526,16060,30882,426,1.380287162
Mozambique,Mozambique,MOZ,32787052,Africa,225266,2200,6871,67,0.976623192
Myanmar,Myanmar,MMR,55048340,Asia,611875,19433,11115,353,3.175975485
Namibia,Namibia,NAM,2621429,Africa,157646,4019,60137,1533,2.549382794
Nepal,Nepal,NPL,30053867,Asia,978475,11951,32557,398,1.221390429
Netherlands,Netherlands,NLD,17201245,Europe,7908701,22016,459775,1280,0.278376942
New Caledonia,New Caledonia,NCL,290302,Oceania,60294,311,207694,1071,0.515805884
New Zealand,New Zealand,NZL,5002100,Oceania,693219,350,138586,70,0.050489095
Nicaragua,Nicaragua,NIC,6762511,Latin America and the Caribbean,18434,224,2726,33,1.215145926
Niger,Niger,NER,25738714,Africa,8811,308,342,12,3.495630462
Nigeria,Nigeria,NGA,215077352,Africa,255468,3142,1188,15,1.229899635
Niue,Niue,NIU,1645,Oceania,7,0,4255,0,0
North Macedonia,The former Yugoslav Republic of Macedonia,MKD,2083224,Europe,306670,9228,147209,4430,3.009097727
Norway,Norway,NOR,5495449,Europe,1408708,2518,256341,458,0.178745347
Oman,Oman,OMN,5333815,Asia,388468,4251,72831,797,1.094298629
Pakistan,Pakistan,PAK,228397520,Asia,1525466,30361,6679,133,1.990277069
Palau,Palau,PLW,18245,Oceania,4042,6,221540,329,0.148441366
Palestine,State of Palestine,WBG,5308883,Asia,581236,5351,109484,1008,0.920624325
Panama,Panama,PAN,4433639,Latin America and the Caribbean,765213,8170,172593,1843,1.067676582
Papua New Guinea,Papua New Guinea,PNG,9243590,Oceania,42203,640,4566,69,1.516479871
Paraguay,Paraguay,PRY,7285892,Latin America and the Caribbean,648353,18731,88987,2571,2.889012621
Peru,Peru,PER,33775745,Latin America and the Caribbean,3548559,212328,105062,6286,5.983499218
Philippines,Philippines,PHL,112133868,Asia,3679485,59343,32813,529,1.612807227
Poland,Poland,POL,37774045,Europe,5969621,115345,158035,3054,1.932199716
Portugal,Portugal,PRT,10144662,Europe,3604114,21693,355272,2138,0.601895501
Qatar,Qatar,QAT,2807805,Asia,361819,677,128862,241,0.18711013
Réunion,RÃ©union,REU,906497,Africa,336945,709,371700,782,0.210420098
Romania,Romania,ROU,19013049,Europe,2860094,65090,150428,3423,2.275799327
Russia,Russian Federation,RUS,146044010,Europe,17896866,369708,122544,2531,2.065769504
Rwanda,Rwanda,RWA,13513881,Africa,129728,1458,9600,108,1.123889985
S. Korea,Republic of Korea,KOR,51346429,Asia,13874216,17235,270208,336,0.124223235
Saint Helena,Saint Helena,SHN,6109,Africa,2,0,327,0,0
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,53858,Latin America and the Caribbean,5549,43,103030,798,0.774914399
Saint Lucia,Saint Lucia,LCA,185096,Latin America and the Caribbean,22964,365,124065,1972,1.589444348
Saint Martin,Saint Martin,MAF,39820,Latin America and the Caribbean,10107,63,253817,1582,0.623330365
Saint Pierre Miquelon, Saint Pierre and Miquelon,SPM,5744,Northern America,1957,1,340703,174,0.05109862
Samoa,Samoa,WSM,200722,Oceania,2285,1,11384,5,0.043763676
San Marino,San Marino,SMR,34056,Europe,15181,113,445766,3318,0.744351492
Sao Tome and Principe,Sao Tome and Principe,STP,226281,Africa,5945,73,26273,323,1.227922624
Saudi Arabia,Saudi Arabia,SAU,35762746,Asia,751076,9048,21002,253,1.204671698
Senegal,Senegal,SEN,17515750,Africa,85919,1965,4905,112,2.287037791
Serbia,Serbia,SRB,8675762,Europe,1980722,15825,228305,1824,0.79895109
Seychelles,Seychelles,SYC,99413,Africa,40421,164,406597,1650,0.405729695
Sierra Leone,Sierra Leone,SLE,8260822,Africa,7674,125,929,15,1.628876727
Singapore,Singapore,SGP,5930887,Asia,1109744,1276,187113,215,0.114981473
Sint Maarten,Sint Maarten,SXM,43728,Latin America and the Caribbean,9766,86,223335,1967,0.880606185
Slovakia,Slovakia,SVK,5464272,Europe,1725487,19417,315776,3553,1.125305493
Slovenia,Slovenia,SVN,2079438,Europe,973892,6501,468344,3126,0.667527816
Solomon Islands,Solomon Islands,SLB,716351,Oceania,11470,133,16012,186,1.159546643
Somalia,Somalia,SOM,16668781,Africa,26400,1348,1584,81,5.106060606
South Africa,South Africa,ZAF,60617532,Africa,3722954,100050,61417,1651,2.687382116
South Sudan,South Sudan,SSD,11423439,Africa,17278,138,1513,12,0.798703554
Spain,Spain,ESP,46786482,Europe,11551574,102541,246900,2192,0.887679895
Sri Lanka,Sri Lanka,LKA,21570428,Asia,661991,16481,30690,764,2.489610886
St. Barth ,Saint Barthélemy,BLM,9930,Latin America and the Caribbean,4150,6,417925,604,0.144578313
St. Vincent Grenadines,Saint Vincent and the Grenadines,VCT,111557,Latin America and the Caribbean,6746,106,60471,950,1.571301512
Sudan,Sudan,SDN,45640385,Africa,61955,4907,1357,108,7.920264708
Suriname,Suriname,SUR,595833,Latin America and the Caribbean,79232,1325,132977,2224,1.67230412
Sweden,Sweden,SWE,10209507,Europe,2487852,18331,243680,1795,0.736820357
Switzerland,Switzerland,CHE,8765420,Europe,3490876,13715,398255,1565,0.392881328
Syria,Syrian Arab Republic,SYR,18244381,Asia,55711,3144,3054,172,5.64340974
Taiwan,"China, Taiwan Province of China",TWN,23892241,Asia,24310,853,1017,36,3.508844097
Tajikistan,Tajikistan,TJK,9912437,Asia,17388,124,1754,13,0.713135496
Tanzania,United Republic of Tanzania,TZA,62710097,Africa,33815,800,539,13,2.365813988
Thailand,Thailand,THA,70106601,Asia,3711595,25418,52942,363,0.684826874
Timor-Leste,Timor-Leste,TLS,1362386,Asia,22832,130,16759,95,0.569376314
Togo,Togo,TGO,8618172,Africa,36944,272,4287,32,0.736249459
Tonga,Tonga,TON,107792,Oceania,7127,9,66118,83,0.126280342
Trinidad and Tobago,Trinidad and Tobago,TTO,1407422,Latin America and the Caribbean,138425,3756,98354,2669,2.713382698
Tunisia,Tunisia,TUN,12035092,Africa,1035884,28323,86072,2353,2.734186453
