,index,neg,neu,pos,rating,title,review
0,2,0.008473291,0.050284304,0.94124246,10,A Comic Book Triumph!,"I was lucky enough to be included in the group to see the advanced screening in Melbourne on the 15th of April, 2012. And, firstly, I need to say a big thank-you to Disney and Marvel Studios.Now, the film... how can I even begin to explain how I feel about this film? It is, as the title of this review says a 'comic book triumph'. I went into the film with very, very high expectations and I was not disappointed.Seeing Joss Whedon's direction and envisioning of the film come to life on the big screen is perfect. The script is amazingly detailed and laced with sharp wit a humor. The special effects are literally mind-blowing and the action scenes are both hard-hitting and beautifully choreographed.While all of these things (script, action, special effects and so on and so forth) are important... it's no good having them spot on if you don't have a cast that just isn't right. But fortunately, for fans and for the actors involved, Whedon's cast not only work brilliantly together but are perfectly comfortable wailing on each other and threatening each other all day and night.The actors' performances in ""Marvel's The Avengers"" are simply captivating and there are many instances where we get a glimpse further into their characters pasts and innermost feelings. Robert Downey Jr. will have you in stitches. Scarlett Johansson will have you staring in disbelief as she winds her way through sticky situations. And Tom Hiddleston will have you simply shaking in your seat with fear.All in all, Marvel's The Avengers is a visual delight and I cannot wait to see it again, and again, and again. Marvel fans will not be disappointed, and something tells me that most of you will agree with me wholeheartedly.The Avengers, assembled and awe-inspiring. Ten out of ten."
1,3,0.7359727,0.22425172,0.039775603,1,A consummate failure - here's why,"Here's why ""The Avengers"" fails so badly.1. Wrong, wrong director - Joss Whedon is a TV Director. ""Serenity"" worked because it was essentially a TV movie. And he has here made ""The Avengers"" a TV movie. Bad move, this should have gone to J.J. Abrams, Bryan Singer or Brad Bird.2. Dreadful miscasting - only Robert Downey Junior can hold his head high. Chris Evans is as wooden in this as the flat ""Captain America"" film. Those playing Thor, Hulk, Black Widow either phone in performances or look embarrassed.3. Weak, weak villain - Tom Hiddleston plays a slight, camp character who offers little panache or interest and more closely resembles a spoiled teenager than anything else. This film needed a ""General Zod"".4. Too much obvious CGI - come on, it's 2012, there's no excuse for the George Lucas-y effects like the flying Shield craft graphics.5. No drama, tension and a script so obviously flat that Whedon inserts misplaced self conscious quips to lighten the tone.For anyone growing up with Marvel comics in the 70's (chime with me on this), we deserved SO much more. For younger audiences, it will pass I'm sure.Really can't understand though the positive reviews. Am I alone in this ?"
2,4,0.008833456,0.096105315,0.8950612,9,Nothing Short of Amazing,"I just saw the early screening for San Diego through the top 10 cities on facebook who got them. And suffice to say I am glad I was privileged enough to.First off, this hands down is the best Marvel movie ever. I don't say that lightly. And in terms of superhero movie with maybe the Nolan Batman series being tied with this, I thought Whedon did an amazing job to bring out all these characters in this one movie. I especially like what was done with Hawkeye and Black Widow just because those two didn't really have their individual movie with their back story. You can tell when a comic book fan writes and directs a comic movie because it clearly showed in all areas of production for this film. Going into the film I honestly thought that a lot of the cool mutant action scenes would be strictly Iron Man and Captain America. But Whedon does such a great job giving each mutant their 15 mins of fame and by the end of it you seriously feel like ""Wow this guy/chick is a badass"" for every mutant. I will admit i am not a Hulk fan. I like the inner story for it but was never a fan of the films, show or comic. But Hulk's role in the movie is so awesome I became a fan just from it. If any of you are Whedon fans then you guys/girls will love this movie. It has his M.O. written all over the humor and story presentation. And there were definitely parts in the movie where I thought ""Wow this seems like Firefly and Serenity"". And story aside, if you read, watched, or idolized Marvel superheros as a kid, the action alone will make you cheer just out of sheer nostalgia of imagining The Avengers or X-Men all together on the screen kicking ass. In summation, I don't need to say you NEED to watch this movie because I think anybody who is anybody already knows they want to see this. All this review has done was just reaffirm the hype behind this movie. I don't say this much but job well done Marvel and Disney for hiring a writer/director who has the audaciousness to keep it honest and true for those most dedicated comic fans who are the backbone of Marvel comics being a success. And in this day and age of superhero movies and movies in general that is very hard to do. Cheers Joss Whedon!"
3,5,0.0021985632,0.010524409,0.9872771,9,"Great, GREAT FILM!!","Ever since the beginning of the film, I was so amazed and happy That I was at the premier of the movie. Very good acting from all the main characters and good acting from the rest. Great Directing and writing from Joss Whedon too. The cinematography was stunning throughout the whole film.This is a fun action packed film for the whole family to enjoy just like the rest of the Marvel movies but better. The special effects by far are the best for any Marvel movie. The Hulk Looks so much more real. By the way The Hulk made the movie even better. Also, DO NOT SEE THE AVENGERS IN 3D! See the film because you will not be disappointed even if you are not that interested into superhero movies. It has a lot of humor and love, so again SEE IT!"
4,6,0.9594979,0.03481845,0.005683641,2,2 1/2 hours of wasted time,"I don't want to waste more time talking about a movie that I just wasted 2 1/2 hours of my life watching but I feel it's necessary in order to maybe save someone from making the same mistake I just did by watching this stinker. Actually I slept through some of it so there was SOME valuable time spent in the theater. I would have walked out except my girlfriend look like she was enjoying it. This movie just sucked, plain and simple. It's the typical good guys have to save the earth from aliens. It did have all the emotions though.....The dialog was laughable and the acting made me want to cry. Unless you just like seeing buildings getting demolished and people who are impervious to bullets, explosions, and every kind of weapon known to man, stay home and save your money. I've watched better cartoons as a kid. It actually angers me that there are so many people in this world the simply LOVED this movie. This movie was so bad, I may never go to the theater again!"
5,7,0.9498042,0.042886607,0.0073092096,5,Very Boring & Disappointing,"Oh my god ! .. The Avengers was a big disappointment to me ! I can't believe how doll and bored I was during the 2 hours and 20 minutes playtime of the movie ..The directing was so bad and I think the director thinks the audience are so stupid or retarded to believe those cheap story lines or cheap jokes or even cheap plot .. The script was so cheap and boring and the characters didn't blend with each other at all ..I'm not even impressed by the special effects of the movie .. I think X-Men 3 or Spider Man showed a lot more special effect than this one .. I nearly enjoyed the last scene of the entire movie but this was not enough for such a movie who earned unbelievable high ratings ..Finally, when I knew that the director has never directed such super hero movies and he has only directed for the TV (like Buffy series), I know why this movie sucked !! still can't believe how it got 8.6 really !!"
6,8,0.6629251,0.26857963,0.06849526,1,How did this get in the top 100?,"This film is is an empty shell covered with dazzling lights. Sure, it does look pretty but that is as far as it goes.Nothing interesting happens in this film (by interesting I mean plot wise, not a standard fight scene with new people copied and pasted into it) the 'plot' is horrific, to the point in which you wonder if there actually is a one. Hollywood seem to use the same script for every action film they make, only they replace a few of the more minor details so hopefully people won't notice. In an attempt to keep at least some of the male (and select female) audience awake the director decides it is time for Scarlett Johansson to pop up on screen to show off her, lets say defining costume in such an obvious manner. It is just a cheap, cheap film full of filler material that you will enjoy if you have an inability to think for yourself.I really have no idea how this film got into the top 100 of all time, there is really no reason for it to be there. The only plus sides are that the acting and cast are superb, it is just a shame that they were not involved in something where their talents could have been used in more fulfilling roles."
7,9,0.87504816,0.10261171,0.022340182,1,"An unsurprising, mind-numbing interminable bore","What a disappointment, although really not surprised at how bad it was. A totally boring, endless and mostly witless movie aimed at brain-deadened people who think that special effects, explosions and fantasy but definitely not fantastic characters make for a great movie. The cinematography was gray and cloudy, the editing incomprehensible, and the acting unsurprising and depressingly familiar. Simple, human emotions, which used to be integral to a movie are now so rare. Noise and all-too-familiar mayhem have been substituted. The attention span of the audience, when not being bombarded by yet another special effect, shifts quickly to their cell phone when things slow down even a bit. To think that more-of-the-same will be the order of the day is depressing. Count me out."
8,11,0.66470176,0.22497366,0.11032458,3,Very Disappointed,"I booked tickets for this as my boyfriend wanted to catch it before it left the cinemas, and from the trailer it looked like great fun, but after a very achy backside from sitting and squirming through 2 an half hours of this tripe, bored out of my brain, just wasn't worth it! The only good thing about this film was Downy Jr, hes an incredible actor in his own right, and if it wasn't for him I'd be giving it 0/10. Just cant understand why people are soooo hyped over it, very cliché, bad acting (apart from Jr) dialogue was atrocious, and the story has been done time and time before.. Yawn! I was expecting something sooo much more from this film and it fell flat."
9,13,0.5863908,0.33800748,0.07560173,1,"Every cliché known to man, and cinema as a game console","By geeks, about geeks, for geeks. Tempting the geek dollar out of its den into the local multiplex with a thrill that can't be bought on the Xbox.Is it The West Wing in space? Or is it Stargate meets X-Men? There is not a shred of originality or true imagination in this noisy, flashy, ugly commercial behemoth. It is part of an action figure marketing campaign; a film made by men who still think like pre-teenagers, who were inspired long ago by comic books cheaply churned out by groups of at most six people - who at least had a grasp of characterization.The now-grown comic-book readers have to remain in their adolescent playrooms and pay homage to that excitement because they dare not go out into the world and feel real suspense, fear, or loss. They must burn gazillions of dollars and employ thousands of people in trying to recreate that comic-book buzz. A long-lost childish thrill is the only feeling they are willing to let themselves - or you - experience.Will you join them? Will you sit in a darkened room pretending that you are engaging with life because you have a 3D screen, surroundsound, and a broadband connection? Will it be enough for you to escape into Joss Whedon's stunted teenage netherworld, or will you go outside and attempt to engage with - god forbid - strangers, rather than aliens, superheroes and vampires?There are movies, even trashy ones, that will echo, embellish and enhance your experience of the world. 'Avengers Assemble' isn't one of them; it's shiny, expensive, overwrought trash that assumes we are all as insecure, stupid and frustrated as those who created it.You will have forgotten it long after you still remember how much it cost to get in. Choose life."
10,14,0.97534376,0.022064479,0.0025918218,1,Absolutely rotten,"This was a terrible film. The lines were cheesy. The action sequences were predictable. Every sequence that rolled out on screen had already been done to death by countless action films before- there was nothing new, fresh, catching or anything innovative for that matter in the way the film was shot, scripted and acted. Just when I thought things couldn't get any worse, the low brow, tasteless racist slanderer of Captain America (Yes I know he was doing it to show this mindset was still of that of a white American of the 1940's) towards Samuel Jackson's character made me want to walk out of the film. And I'm not even black. A complete waste of money on my behalf. To see this film receive the high acclamation that it has just goes to show how brainwashed the general population has become due to the continuous release and production of these utterly mind-numbing, idiotic films.Not even worth a star."
11,15,0.83458626,0.13932025,0.026093537,2,only the distant echo of a powerful shout,"I just saw the movie. I have been a comic reader and a movie goer for more than twenty years now, and a film like this should have been my wet dream. Instead what I saw was a hollow, empty attempt to recreate the magic of the original comic book: an attempt that poorly fails in a miserable way despite (or I should say: thanks to) all the special effects and the star power the producers have tried to throw in. The fantasy, the wit, the ideas that were present in the comic and that made it the dreams and the joy of so many kids, were completely absent in this studio behemoth. I will admit that the recreation of such magic was a difficult task, probably doomed from the beginning: but this thing is completely lacking brain, or direction, or any meaning at all. The script is a total and utter disaster, full of bore and incredibly shallow, and it goes just ridiculous every time it tries to go funny with sketches and jokes all very similar between themselves. I will rate the movie 2 stars just to give it credit for having been able to give us the first decent Banner/Hulk: it took only three attempts to the Hollywood writers - and god knows how many millions of dollars wasted. Movies like ""Avengers"" are unlucky children that inherit only all the defects from both the parents, which in this case would be Mr. Mainstream Comics and Mrs. Movie Industry. This leaves them with basically no audience: they are too much gruesome and boring for kids, too much childish for youngsters, while for the adults - at least for those the grown-up ones - there are just too many capes. The same stories, printed on comic pages, still resonate in popular culture after decades: but this movie will be hopefully forgotten as soon as the media battage slow down."
12,16,0.6610251,0.27916193,0.059812978,1,Most overrated movie,This is the most overrated movie of this year. There is nothing special in the movie except few humour. The story is pretty old and and we can bow for the special effect.But the special effect has been wasted for such a movie with no story. Movie such as Darknight has rating of 8.9 which is worth but this movie is not worth for such ratings.Its a childish story. Please give good ratings for good movies. Movie is worth watching once but surely this is not special movie for such hyper rating.Hollywood movies of recent days does not have good story but gives more importance to special effect.
13,17,0.04381235,0.22896208,0.72722554,10,average,the avengers was an okay movie. I heard so much hype about the avengers and i didn't think it was amazing it was an okay film not really terrible and it wasn't amazing it was okay. The acting was okay but the effects were pretty good actually but because it was in 3d. I would say it deserves an acadamy award for best sound effects not best acting.every body is saying best film of the year you cant just say that right away the only film you can say the best film of the year is the Mario Puzos The Godfather. I liked the way that they put most of marvels Super Heros into one movie but only one villain. There should have been more villains in the film in summary the avengers was an OK film.
14,18,0.87308854,0.111974716,0.014936662,1,NOT Worth the wait!,"Went to sneak of Avengers tonight in Austin and wish I hadn't wasted the couple hours or so! Very disappointing. Wish I had sold or given away the passes. I remember a time where the story was the most important part of the movie, instead of just smart quips and CGI explosions to make up for it. I guess it is all about making a quick buck. ""Hey, lets put all these elements together and make a killing off the rubes!"" Thing is, we will accept lower and lower quality films, and have no one to blame but ourselves. Don't like silly cars that turn into metallic aliens anyone? I would wait for HBO or the like if you must see this. On a VERY related subject: who are the morons in marketing who decided that they should over-book a sneak so a good third of passes are turned away? From the angry/disappointed faces on the adults and KIDS who were leaving, I am wondering how all the bad will generated helps promote a film? They should barely over book by say, 1% so that people with lives aren't at the mercy of slackers who sit around all day with nothing else going on but to sit all day. Grade C for movie and promotion."
15,21,0.0034731543,0.04733927,0.9491876,10,Beyond Excellent. Avengers Hits At The Highest Level!,"Yep, Marvel has done it again but this time to the max! You can rest assured that Avengers is an absolutely amazing movie. I'm so glad Marvel got in to the solo movie making business. Instead of leasing out their characters to other studios, they're making movies themselves and have not missed yet. (Sony pooping on Ghost Rider again this very year is a great reminder of that) Avengers is, without a doubt, their best effort yet! Personally, I think they set the bar leading up to this movie and they just clean blew the bar in to orbit with this movie.Avengers really takes the comic book genre to the highest level. They along with a select few others reinvented epic adventure as this century began by ""Marvelizing"" characters by making them more believable and more relatable. Spider-Man and the X-Men did this to a degree but only as far as their respective studios wished to stay true to the source material. Anything added or amended was for the benefit of the live action adaptation. Nolan did this for Batman and Raimi for Spider-Man. They pulled it off by talking to the summer crowd, not down to them. Favreau, Branagh and Johnston did similar good work for Marvel leading up to this gem. Now, Joss Whedon not only continues that tone but adds to the work that's come before. It's like the ultimate team work and Whedon brings it all home and all together perfectly. Like the great films of the past, he grounds the action and the superhero concept in firm reality. The humor and acknowledging the absurd nature of everything we see adds the perfect flavor. Yet, all the character depth and relationship nuances are fleshed out well as with any other good film.I've said it before but it's brave to reach for the highest common denominator with a big budget film and Avengers delivers a movie with as much feeling as it has action and intensity. It's a movie that has a wonderful balance that delivers intelligence with its fun. This is, without a doubt one of my top 10 movies of 2012, quite possibly THE best regardless of genre. I don't see anything changing that for the rest of the year. This movie is just that good"
