,index,neg,neu,pos,rating,title,review
0,1,0.13891174,0.4616106,0.39947763,10,Incredible-Nolan keeps improving and Inception is by far the best improvement!,"I saw Memento very recently, something that turned out to be a great miss.I saw it again, just to make a couple of thins straight-and i'll definitely do the same with Inception.Christopher Nolan keeps improving himself, with even more complex and multilayer script like this.And i thought Memento was hard to reach by most of the viewers, but no.Inception will keep you mesmerized and captivated by the genius, that's hidden behind it.And not just directors and screenwriters (or with other words-Nolan), but with acting and sound-and effects and editing as well.When you have a cast like this-i mean Leonardo DiCaprio, Joseph Gordon-Lewitt, Michael Caine, or Marion Cotillard (a personal favourite), the movie just keeps going flawlessly.Most of the crew is the same the Nolan brothers worked with on TDK and earlier in Batman Begins.So the Oscar noms in those categories are a certainty for me.The only thing one could have against the movie, is the headache one could have.See, most of my friends go to the movies for brainless action, they enjoyed Iron Man 2 and The A-Team, but this movie-you have to see it at least twice, to understand it.The levels and the layers on which thing are happening are so many, that one surely'll miss something vital.This is a reason for not fitting to the mass audience, but i hope that won't happen, because Nolan is one of my favourite directors/writers, and he showed, that the brainless action flicks aren't all of it.There are still movies like Inception out there and still people like the Nolans to make those movies, so it's not all lost.And i hope this movie could show the audience that the story is still important for the experience one could receive, not the endless, constant explosions.Because this is really a one of a lifetime event.Saying that, i must say, that in a world full of remakes, reboots, sequels, prequels and God knows what, this is a unique chance to see something different and unmatched so far-a strong movie, that, surely will be Nolan's latest masterpiece! My Grade won't change-it's the same for all Nolan movies-sheer 10!"
1,4,0.0027425801,0.024029387,0.9732281,10,"Amazing Directing, Captivating Plot, Overall Great","I had the privilege of seeing this movie before it came out, and, like most of DiCaprio's films, it blew me away.Inception is a well-made movie, filmed in about 6 locations all over the world. The directing was outstanding, there were only about two moments, maybe three seconds in total, where i noticed that visual effects were being used (of course defying gravity is pretty difficult). The plot was very pleasingly intricate, with a twist-and-turn, keep-you-on-the-edge-of-your-seat type feel. I noticed that this film had similarities with DiCaprios thriller Shutter Island (which i also enjoyed very much)seeing as it left you wondering what was real and what was not. It's great to see a movie with a thick and emotional plot and not just grenade-throwing action heroes who achieve greatness in the end.Inception also has a very well-composed score, which to me was the finishing touch to a perfect movie. If you're thinking about seeing Inception, definitely go! Even though i was fortunate enough to see a free show, it is worth every penny you pay. Truly unique, like nothing i've ever seen before. Christopher Nolan certainly covered new ground with this film and wasn't afraid to leave us hanging with a spectacular ending."
2,9,0.50608295,0.38755795,0.106359124,1,"A fake ""thinking person's movie""","I cannot phrase it better, so I will quote Rex Reed who called Inception's storyline ""prattling drivel."" A friend claimed Inception is a ""thinking person's movie"", but a thinking person will realize that it is only masquerading as a thinking person's movie. At bottom, intellectually, ""there is no there there."" Add to this that someone clearly believed the film needed to be pumped up with overwrought drama to qualify it as a ""summer blockbuster."" I couldn't wait for it to end, and when it did, the intrusiveness of the loud, schlocky music over the closing credits seemed to crystallize all the incipient negative feelings I had been having throughout the movie. I hope that this director will go back to doing smaller films that do not stretch his concepts beyond what they can support."
3,10,0.9484508,0.04443339,0.0071158283,1,So bad,"My high expectations of this movie based on its no. 3 position in the Top 250 lasted for about 2 seconds into the movie. What a disgrace! And so childish. And Tiring! How can it be that everyone likes this movie. It's absolutely overloaded with bizarre and completely arbitrary turns of plot that have to be explained for about 75% of the movie. No character! No excitement, I could not even tell who were the bad guys. And yet again a few seconds of Michael Caine to camouflage the complete cardboard appearance of the entire cast! What is the meaning of this movie? What is it about? Uhhh???? Its internal logic is utter bullshit. Its emotional significance is zero, empty, frightening.Can please somebody agree with me, I feel so sad.Kurosawa come alive!"
4,12,0.69316614,0.25181526,0.05501858,1,A nightmare.,"This movie is a disaster on many levels, but where it fails most miserably is at attempting to put dreams on screen. This movie is the most un-dreamy movie ever made, and as critics have said since the beginning of moving pictures, watching a movie is like dreaming with your eyes open. Colin McGinn covers this in great depth in his book ""The Power of Movies"", in which he discusses the spatio-temporal discontinuity in films: the camera can record a given scene and then leap to another place and time entirely. This is what movies do! Nolan treats this heavy-handed hopping about as if he's discovered something. What he's lost is the mysterious, moody, enigmatic quality of dreams, the tremendous emotional wallop. ""Inception"" is so detailed, so measured, with constant explication, that nothing is left to the imagination. How ironic is that? And to fill a movie about dreams with carefully designed car chases, gun battles, and mayhem of all kind...it's anti-dreaming. I've never watched a film so awake, so aware of itself, so full of itself. A hundred years from now when cultural historians look at this era of Runaway Bigism - Big Government, Big Corporations, Big Bodies! - they can use over-blown and spiritually empty films like this (and ""Dark Knight"") as good examples of what ruined the country. Wretched excess."
5,13,0.57115614,0.3304194,0.09842448,2,Pretentious...overblown...but at least it's too long...,"This is the kind of movie designed to make really stupid people feel smart.""Inception"" continues Christopher Nolan's steep decline after the riveting ""Following"" and the clever ""Memento."" There's a germ of a good idea here. (In fact, there are germs of 9 good ideas here. But they are all poorly thought-through and badly realized.Nolan draws on Orpheus (DiCaprio) trying to save his doomed wife (Cotillard) from Hades (here: Limbo.) There's Ariadne (Page) who helps Theseus (DiCaprio again) thread through the maze of the Minotaur. There are riffs on Jung's archetypal projections and Freud's ""unconscious"" blah blah blah as if Nolan opened up a book by Joseph Campbell, sprinkled in some ""psychological ops"" nonsense...and said ""I am BRILLIANT!"" Well, Nolan started with great ingredients. But they're all poorly mixed, half-baked and layered precariously on top of one another.Bottom line: this is a truly dreadful film which will be hailed by people -- who because they're confused -- will think it's JENIUS! The only good thing? I finally understand how Scientology caught on."
6,14,0.061044566,0.2662887,0.67266685,10,Is it possible the makers understand how incredible this film is?,"You only get to watch this for the first time once, so choose your state of mind carefully.
It is a film about movies and dreams and reality, and what sort of life it is best to find when you leave the cinema and return to whatever you left to enter.
It is spectacular, and brutal, and enigmatic and disturbing.
It is beautiful and absorbing.
It is about one of my favourite characters ever to grace the screen.
I don't see it often, in case it's not as good as I like to remember it.
That is my secret, that I lock away in my safe in the basement.
That somewhere there is a perfect world for us all.
For some, perhaps it is in the cinema watching this."
7,15,0.5536534,0.35959387,0.086752675,1,Awful!!!,"We went to see this movie at an IMAX theater. After reading the initial reviews about the special effects and the cinematography, and seeing all of the trailers and special shorts on the film, this seemed like a sound choice. What an absolute waste of money! After reading the other user reviews, I can't help but wonder if we didn't watch a completely different film. All science fiction films require a suspense of reality as they are based on a future time, feature incredible technology which is currently beyond our reach, etc. Given that, most films try to put this aspect into some kind of context which makes the central premise believable or possible. Not in this case. This film's plot vehicle is something called is 'shared dreaming,' through which a third-party can access your dreams and unlock information you are keeping secret. It is somehow done by connecting the dreamers up to a devices contained in stylish briefcases and then - POW - they are in an apparent instant REM state, all connected together and journeying off in their dream world. Huh? It's just thrown out there and the audience is expected to just absorb the concept, accept it and move on to be wowed by all the special effects. A murmur of 'I don't get it' was heard throughout the theater I was in.Early in the film Dicaprio approaches a student played by Ellen Page, who is a student of his old professor and asks her to be an 'architect' and design his dream environments for him. The environments must have mazes and paradoxes. Now, most folks when presented with such a concept would be calling the nut house on a guy like Dicaprio, but Page's character just accepts the whole thing and dives in, having a whee of a time with the environment she creates, bending it and reforming it in visually impressive ways. There is no attempt, however, to sell this whole thing to the audience and it just doesn't work in any sort of context. As the team descends through layers of 'levels' of dreams, the whole thing just becomes more moronic and boring. Great visuals, lots of action, but it all just seems pointless.I would put this down as one of the worst movies I've ever seem. Beautifully shot, but with an empty, stupid plot."
8,16,0.48461,0.40802002,0.10736998,6,Overrated Mess,"In the future, the industrial spy Cobb (Leonardo DiCaprio) has the ability to steal secrets from the dreams of executives. When his beloved wife committed suicide in the past, he was falsely accused of murder and now he is an international fugitive that can not return to USA to be with his children. When Cobb meets the powerful Saito (Ken Watanabe), the executive offers a unique chance to him to clear his records. In return, Cobb shall plant an inception in the mind of the heir Robert Fischer (Cillian Murphy) to avoid that the company he had inherited from his father becomes a monopoly in energy in the future. Cobb lost the capability to build dreams and together with his partner Arthur (Joseph Gordon-Levitt), they team up with the trainee in architecture Ariadne (Ellen Page); with the expert Eames (Tom Hardy); and with the chemistry Yusuf (Dileep Rao) to enter in different levels of Robert's dream and plant the inception.""Inception"" is an overrated mess and my greatest deception in 2011. I do not understand the hype surrounding this film, probably the fruit of the market campaign of smart producers that lure naive viewers that seem that does not think and understand how flawed and stupid this story is. The plot is developed in fast pace to force the viewer to not think, with incoherent rules that do no make sense and that change in each layer of the dream in accordance with the intention of the writer. The best part of this film is the hilarious IMDb User Rating that reflects how brainless the Hollywood cinema has become in the contemporary days. My vote is six.Title (Brazil): ""A Origem"" (""The Inception"")"
9,18,0.79927045,0.16991095,0.030818533,1,"My review is a review within a review, within a review, within a re...","I shook my head in disbelief and disappointment while groaning thru the last 30 minutes .should have walked out on it70% of the movie is spent with the characters trying to explain, and then re-explain the ""overly far-fetched"" parameters and boundaries of the plot TO EACH OTHER! - I am pretty sure the actors couldn't keep pace with what was happening. I bet there are equally like-minded scripts circulating at this very moment thru mental hospitals across the country.The makers of this film expect you to buy into an awful lot (and that's just within the first 3 minutes) - leading you around and around not knowing if you can even believe anything that happened only moments before and then, you get the nice overly used ""OR IS IT??????"" totally smarmy and puzzling ending!!! (I saw that turd coming a mile away too)I guarantee you this an evening rental of the movie and you will not be able to stay awake far too many changes in direction, each one more annoying than the previous and yet still somewhat predictable.I'll sum it up like this and see if you are still interested..""It's a dream within a dream, within a dream, within a dream (that's right 4 annoying levels sleep) and possibly. Within yet another dream when it finally ends. COOOOOOOOOOOOOOOOOOOOOOOOOOL.N O T ! ! ! ! ! ! !I say, ""If you must go bring something to throw at the screen NO STARS.EVER. This film solidly establishes the new ""basement"" in film making """
