,index,neg,neu,pos,rating,title,review
0,3,0.040597573,0.074440494,0.88496184,10,I waited 5 years to watch it again,"After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again
This without doubt is THE BEST MOVIE EVER MADE"
1,4,0.018842176,0.12174701,0.85941094,10,The GENIUS shocks the world by another unique innovation..!!,"(((WOW)))...!!!It's almost impossible to put in words, but we have to try and give everyone what he truly deserve.In my modest opinion, Interstellar is the best Sci-Fi in human history. Believe it or not. It's the simple and the complicated, It's the usual and the different, It's the mind and the heart, It's an emotional and psychological journey through the unknown which has its own stunning visuals. It's an original story and thought-provoking masterpiece.Every single time with him, you just got crazy about his ideas, astonished by his mind games and inspired when he talks to the heart.Back then, he was an ambitious young director. And with his capabilities made his own way straight through the world. Now, he is an icon and a legend of directing. He is Christopher Nolan...Really guys, what's wrong with this guy ?!! what's going on inside his head ?!!It's our job to honor the honorable. Please, Just keep the rating UP, why ? Because Chris. and Interstellar deserve it."
2,6,0.0046147853,0.037070967,0.95831436,10,Best movie I have seen in my life,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. The visual effects were more than just Oscar worthy. They were pioneering. I have never seen anything like it. One thing I would recommend is having a little previous knowledge about space. Not like Einstein stuff though. I would recommend you see this movie as fast as you can if you are a Nolan fan or not. I give this movie a rating of 97 out of 100."
3,7,0.032200646,0.11265449,0.85514474,10,'Interstellar',"'Interstellar' was incredible. The visuals, the score, the acting, were all amazing. The plot is definitely one of the most original I've seen in a while. Most of the critic reviews have said that some bits are a little too unbelievable, but I have to disagree. Yes, there were some parts that were definitely in the ""fi"" part of sci-fi. But the thing is, 'Interstellar' deals with concepts that we know very little about. We have no idea what the 4th or 5th dimension is like, or what it would be like to go through a wormhole or a black hole. I don't think it's fair to call something unbelievable, when we have absolutely no idea what WOULD be believable in those circumstances. Either way, excellent writing from the Nolan brothers. The visuals were outstanding, and will no doubt be nominated for an Oscar. The performances were excellent, though nothing Oscar worthy, as is the case with most of Nolan's films ('The Dark Knight' being the obvious exception). Hans Zimmer's score was amazing and blended perfectly with the film. All in all, 'Interstellar' is an excellent movie, which I personally think is Nolan's most beautiful film to date."
4,8,0.050086893,0.24609429,0.7038188,10,Epic in every way!,"Just watched Interstellar in imax 70mm. Science Fiction fans can read on, everyone else can skip. Movie is a visual masterpiece. Like his earlier movies, Christopher Nolan once again proved, how big a movie can be! There were some shots,which made audience go crazy..Some scenes were as epic as 2001: A Space Odyssey. Do not go into the theatre expecting an action packed cerebral thriller. This one is not for action fans. At times, movie go highly sentimental( Matthew McConaughey does what he is best in and supposed to). I recommend this movie to all the Sci-Fi fans out there, make sure you go in group of sci-fi nuts!! Do not go with the hype..Go, sit back and enjoy. Just like Inception, this movie will be known as great after few months(I know people who said Inception was a crap when it released, and after few months rating it 10/10 in IMDb :D). I don't wanna spoil anything(If you want PM me). Also, make sure you go to the best theatre close to you. (If you loved Donnie Darko, 2001: A Space Odyssey, this is the one for you, Get ready to get mind blown!!) Interstellar Movie is EPIC in all sense!!"
5,13,0.9308173,0.05804463,0.011138083,5,Seriously people??,"I do not know what kind of PR team the production team has hired to promote this film, but obviously they are doing great job as it has already higher score than Inception... Seriously guys??? This film has 5/10 stars at best, and even that for just potential. Rest of it is lost because the film has absolutely no logic to it.Stupid, illogical and at times really boring and long. Even though I am no scientist, it was so stupid on so many levels with even the most basic of facts that I have no comments to this....Set your expectations low- no way in hell does this film deserve any of that praise posted here...."
6,14,0.029018542,0.11435505,0.85662633,10,Excellent Movie,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!"
7,16,0.11847875,0.31118366,0.5703376,10,Glad i didn't watch the trailer,"Interstellar - ReviewCertain things in life are precious. Very precious. And so was the Film for me.Why you might ask?Well seldom do i get the chance where i find myself sitting in a cinema anxious and intrigued by what might come. In a time where trailers are omnipresent and going to the movies without having seen one seems unreasonable, outright stupid to some i had the magical chance to find myself in front of the IMAX on a cold November night with 2 tickets to Interstellar. My only knowledge was that Nolan directed it and McConaughey stars in it.The images were brilliant the acting was top notch and everything was blended together by Hans Zimmer and his Music. 169 minutes flew by me with my eyes fixed on the screen and my heart racing. And there it was.. The ending. I couldn't believe it . I was reliving, rethinking the movie while the credit scenes rolled enjoying the moment, the smell of popcorn, my comfortable seat and what do i see next to me? Ninety percent of the people in the cinema rushing outside after the first second of the credit scenes. .. .Well apparently people enjoy movies different than i do. Maybe i should start watching trailers again :)."
8,17,0.65152484,0.27037883,0.07809636,4,Poor in almost every possible way.,"Yesterday I watched the movie ""Interstellar"". A poorly scripted and poorly directed movie with an over-simplified pseudo-science and spoon-fed philosophical implications, basically a typically overrated Hollywood movie which takes no shame in copying from 2001: A Space Odyssey from Kubrick with none of its beauty, simplicity and none of its art. It shows that in 1968 they were able to make a masterpiece and in 2014 they can't even copy it decently. The fact that on IMDb it has an higher rating than the Kubrick masterpiece makes me lose all faith in the progress of humanity and in our current generation. I will watch 2001: A space odyssey again to forget about it and restore faith in human kind again."
9,18,0.59354424,0.29454914,0.11190656,4,"The most overrated movie on IMDb right now, a complete letdown","If you saw ""sunshine"" and thought ""wow, good thing they had scientist advisers, this stuff is so plausible"", you will like ""interstellar"".If you saw ""armaggeddon"" and thought ""what an awesome movie, i just wished they would have dragged the scene where he says goodbye to his daughter out even more"", you will like ""interstellar"".If you saw ""inception"" and thought ""this movie would be so much better in SPACE!"", you will like ""interstellar"".And if you liked ""2001"" or any other intelligent/geeky sci-fi movie, you will hate ""interstellar"".Like some of Nolan's earlier works, it's long for the sake of length only. Its plot is up there with ""armaggeddon"" in pure stupidity and forced US-cowboy-patriot-macho-ism, its special effects are underwhelming, its plot twists are obvious, its setting makes no sense, its characters are flat and forgettable, and its constant citations of ""2001"" just serve to make you remember how much better Kubrick did all of this with a tiny fraction of the money almost 50 years back.Disappointing."
