,index,neg,neu,pos,rating,title,review
0,2,0.0022845825,0.016152939,0.98156255,10,Stunning and wild...,"It's been a while since a movie has generated enough interest in me for me to watch it.  ""The Matrix"" looked exciting enough in the trailers, so I decided to give it a look.  What I found was an amazing movie, with some of the greatest special effects I've ever seen.  The camera angles really work for the action sequences and the choreographed fight scenes made me yearn for more.  Say what you want about Keanu Reeves' acting.  He may not deliver the best dialogue, but his look can carry a film.  He was a great choice for the role of Neo.  Carrie Anne Moss was great as was the underrated Laurence Fishburne.  I highly recommend this film for those who are a fan of visually stunning movies.  It will blow away your senses..."
1,3,0.003712268,0.04974957,0.94653815,10,Raises the bar for sci-fi films for years to come,"The Wachowski Brothers vision of a possible future takes the visual and sound aspects of filmmaking to a new high. Incorporating older still photography with computer enhancement to the degree that appears on the screen has raised the genre to a level that will be very hard-pressed by filmmakers for a number of years. Acting was wonderful, script, visual, sound, everything about this film is a tribute to a usually overlooked genre."
2,4,0.014025281,0.08134906,0.90462565,10,"The more you watch it, the better it gets","The Wachowski brothers really did excel themselves with this movie. It's a brilliant movie on a number of different levels - the directing is excellent, the camera work is great, the visuals are stunning, the kung-fu is A+, acting is executed with style and conviction, and the plot is truly inspired. It's really hard to use enough superlatives on this movie!It'd be a 10/10, except for the ending. Having Neo do what he does at the end really lets it down, in my opinion. However, there's a couple of sequels on the way, so let's see what the Wachowskis can do to make up for it.Other than that, (and like I said above) the movie is operating on so many different levels that each time you watch it, you pick up something new... this isn't by accident, either. The Wachowski brothers had the actors read a number of definitive works (Simulation & Simulcra was one I believe) in modern literature and psychology, and applied liberal dashings of aspects of the major religions to provide the best sci-fi movie of the decade, if not ever.I'm yet to meet somebody who hasn't enjoyed it. It's my favourite movie to watch on a good cinema system, too."
3,5,0.028026909,0.17435859,0.7976145,8,Guns. Leather. Keanu Reeves. How cool can it get?,"You walk into this film not knowing what the Matrix is. You take your seat and watch the trailers. The green Warner Brothers (green? you ask) trademark comes up, and without warning you are thrust into the Wachowski brothers grand vision. 2 hours of excitement later, you stumble out of the cinema, knowing what the Matrix is.This is one great movie. Keanu Reeves is cooler than cool as Neo. The Wachowski brothers skilful direction is brilliant. The special effects sequences will blow you away, did I mention the government lobby scene?The film starts off with a 'what is real?' first half, and then the first kung-fu sequence makes way for an action- packed, John Woo-esque second half with slomo and style cranked up all the way to the top. Did I mention the government lobby scene?Keanu becomes Cool Keanu, Carrie-Anne Moss is a real find and Hugo Weaving is perfect in his against typecasting role as the evil Agent Smith.You may notice in this review that I have not revealed what the Matrix is. Like the trailer says, 'You have to see it for yourself.'Excellent. Best film of '99. 9/10."
4,6,0.08077595,0.61254096,0.306683,9,The Matrix has Buddhist themes,"A large part of the appeal of 'The Matrix' for me was the special effects and action-packed scenes. But, on reflection, part of the appeal is also its philosophical and religious underpinnings...When asked whether Buddhist ideas influenced them, the Wachowski brothers offered an unqualified ""Yes!"" and at a very basic level, the movie portrays two levels of reality: our everyday existence and a deeper, more significant, underlying reality (the matrix). This is very much like the Two Truths in Buddhism: relative truth, in which everything is perception, and ultimate truth which is the way things really are (objective reality). Because of our ignorance, we mistake the everyday world for something real and objective, and this is the cause of our suffering. As in 'The Matrix', breaking through relative truth to direct contact with ultimate truth represents a high spiritual attainment, some would say enlightenment, an awakening. (Remember the message on Neo's computer screen: ""Wake up, Neo!"")Mahayana Buddhism suggests that there are great spiritual warriors (like Neo?) who are walking the path from ignorance to enlightenment, and who can in turn guide us on the path."
5,7,0.0018269678,0.009434765,0.9887383,9,"Excellent film, makes my top 5 modern films","Right there with Seven and Silence of the Lambs for me.  I love this film, and rate it a notch above some of the other great action films of our time (i.e., Terminator, Predator) because it has a really well thought out (although moderately unbelievable) story line.  A lot of thought provoking material, and some interesting subtleties. I've seen it 10 times (I don't usually watch a movie more than once), and I'll watch it a few more. Enjoy!"
6,9,0.2342226,0.44331577,0.32246166,1,"Good, but...","I side with the negative crowd on this one; with the risk of sounding pompous I have to say this: To believe that this is a brilliant film suggest a low level of education and an underdeveloped personal philosophy. There, I've said it. To question the realness of reality is a 400-year old Cartesian idea. Actually, it was explored more interestingly in the old Star Trek episode ""Spectre of the Gun"" in 1969. The rest of the film is an obvious rip-off of ""The Terminator"" and all of John Woo, which are far more interesting movies. The film ponders too long on the central premise, and there isn't enough action to make it a good action movie, either. Still, overall production design is great, but the acting is wooden, and Fishburne makes for an unconvincing guru. All the good scenes were revealed in the trailer, so there's not much else to do than just sit in the theatre and feel patronized by the whole thing. At least, that's what I did. The whole thing just isn't half as clever and original as it wants to be."
7,10,0.0044746376,0.02533339,0.970192,10,Still holds up 20 years later..,"Even with the new 4k hdr these the graphics and action scenes area holding up to the test of time. It not only looks better than mainstream movies today, you're hard pressed to tell what was added in visual effects and what was happening at the time of the shoot.The entire tower scene, not just the bottom level, is a thing of beauty. From all of the rain and explosions and bits flying around that you can see clearly now in 4K, to the generated explosion when the bomb hits the basement. Just gorgeous. Give it a watch, or a rewatch. It's worth it even now more than ever."
8,11,0.8624413,0.1107413,0.026817368,1,It's all effects,"Somewhere along the line, someone planning this film forgot to put in a plot.  It's worse than ""Twister"" in that respect.  Ooh look at all our fancy camera tricks and weapons and weird sci-fi stuff that really makes no sense. But it's loud!  And that makes a good film, you know.  And I would love, just once in my life, to see Keanu Reeves not play a blank-faced doofus in every movie he's made since ""Bill and Ted.""In short, I absolutely and totally hated this film.  My fiance loves it and watches it at least once a month, but I would rather clean out a cat box every hour for the rest of my life than ever see this film again."
9,12,0.009856734,0.05930112,0.9308423,10,Just wow,"When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging."
