,index,neg,neu,pos,rating,title,review
0,1,0.20426847,0.4016374,0.3940942,10,The film that changed the world,"Star wars made epic fantasy real. For a generation of people it has defined what the cinema experience is meant to be. Today it is probable that pc games will offer a deeper and more satisfying entertainment solution, but for pure visual and aural pleasure, mixed with basic emotional manipulation, there has never and will never be a better example of cinema than when star wars appeared over 25 years ago. When you think of star wars, you must remember what else was happening at the time. In America, the war in Vietnam had been lost. In the U.K economic disaster was occurring(a 3 day working week, and the army collecting rubbish). It was almost like the two most technically advanced countries in the world were going backwards. Star wars let everybody escape from that reality and reach for a future that was uncertain but ultimately good."
1,2,0.0037420546,0.026613913,0.969644,10,No words to say,"There's not much to say about this movie this is *THE* movie that changed it all.It's my favourite movie, and not only among the quadrilogy, among all movies; it has everything that can be great in a movie, great characters, great story, great sights, great special effects (they don't show 23 years) and a mythological background that made us dream for decades now, and that'll keep us dreaming for a long, long time. Maybe the characters I liked most in this one are Old Obi-Wan Kenobi, wonderfully portrayed by Alec Guinness, and Han Solo, Harrison Ford's first important role, they're both great.Not to mention John Williams' wonderful score, without of it, the movie wouldn't have been this great it's a perfect mix, that's what it is!"
2,3,0.0077344007,0.042428903,0.9498367,10,Where It All Began-----10/10,"I can never pick a favorite movie because different movies have different effects. Goodfellas is my favorite drama. Face/Off is my favorite actioner. But when it comes to pure amazement, nothing beats Star Wars. We are introduced to a whole other universe with different creatures, different lifestyles, and different history. We are dropped in the middle of an intergalactic war between an empire and a rebellion that has raged for years and left the universe in ruin. It was the most fascinating thing to see when i was eleven, but to this day i am still a Star Wars nerd.The cast of characters includes some of the coolest, funniest, and most tragic in film, and the actors who play them fit seamlessly into this new universe. Alec Guiness is flawless as Obi-Wan Kenobi, a Jedi on the run from the evil Empire. Harrison Ford is awesome as Han Solo, a smuggler and thief who helps the gang rescue the princess. But the my favorite character of all time is Darth Vader. Not only is he the coolest bad guy, but we learn in later films why he is evil and start to feel sympathetic for him. Not to mention that badass booming voice that can make ordering a pizza sound threatening.This was not only the beginning of the best movie series ever, but it was the beginning of my love for movies. George Lucas is a genius for being able to come up with a great story and an incredible backdrop for what was supposed to be a flop, but turned into one of the best films ever. 10/10"
3,4,0.87782407,0.10109565,0.021080298,1,The most over-rated movie of all time.,"I liked this movie when it first came out.  As a teenager, I saw it about seven or eight times (there was nothing else to do on weekends.)  About twenty years went by before I saw it again, on cable.  How time dulls the memory!  ""Star Wars"" now has an odd, nauseating effect on me: the 70's haircuts, laughable costumes, cheesy dialog, fake visual effects, corny music, uninteresting soap-opera plot... (I could go on and on.) I sat there, before the flickering screen, enveloped in ""Star Wars'"" suffocating stupidity, wondering how in the hell I could ever have liked this thing. I finally came to my senses and turned the channel after hearing John Williams' irritating ""Darth Vader"" theme for the 600th time in the first 40 minutes. Why George Lucas decided we needed to hear this high-volume musical cue EVERY time we see Darth Vader on screen is beyond me.  Maybe he just thinks his audience is extremely stupid and is incapable of remembering that Darth Vader is supposed to be evil.  I don't know...It would be easy to dismiss this movie as nothing but fluff to entertain kids (because that's all it is, and all it was ever intended to be) but unfortunately, for many people, this thing has become their religion. Folks, get a life before it's too late! It's just a movie."
4,5,0.04733173,0.39607593,0.5565923,10,The greatest cinematic epic of all time begins here.,"Here begins the greatest cinematic epic of all time, and arguably one of the greatest stories ever told. Originally conceived as a serialized popcorn movie in the manner of the old action movies that Lucas grew up with, Star Wars surpassed even George's keen and bombastic imagination to become a central part of movie history.There are countless tales of the making of this movie; how Lucas never believed he would get the chance to complete the series, how it spawned an industry and made the name of nearly everyone who touched it a household word. But what that does not reveal, nor do the much diminished prequels, is the sheer joy and excitement these movies generated.It was a once in a lifetime experience. You could feel it from opening day, earlier if you paid attention to such things. We had never seen anything like it, and we are not likely to again.This episode finds young Luke Skywalker yearning to leave the agrarian life he has with his aunt and uncle, and chase after adventure as his friends before him have already done. And what adventure there is. The galaxy is in the grip of a massive rebellion against a tyrannical and oppressive empire, but on Luke's home planet, it's something you only dare speak of in a whisper.Along come two robots, ""Droids"" for short, who inadvertently involve Luke in a stellar attempt to contact an old wizard named Ben Kenobi, who lives in the caves near Luke's home.The rest is history, and there isn't a person alive in the civilized world who doesn't have at least some awareness of the epic story that unfolds. Luke's rise from adolescent obscurity on Tatooine to a leading role in the greatest struggle of all time is told with humor, action, adventure, and always a sense of story that is unmatched on the screen or on the page.With the completion of the prequel trilogy, these films are enjoying a renewed popularity among a generation that never saw the films on the big screen, and the theatric revivals are almost guaranteed. Go. Get some popcorn. And may the Force be with you."
5,6,0.932491,0.05857319,0.008935682,1,Highly overrated..Childish crap,"I don't know what is so great about this film that bores. So it was released in the 70s, that time there must of been better films. It has this stupid villain Darth Vader that irritates with his voice. If he is so powerful that he can kill with his mind. Why doesn't he just kill off the Heroes in that way, then wasting time. This movie is very childish, full of boring characters that annoy. There is a fight scene where Harrison Ford is shooting at 100s of Robots with lazer guns. Not a single shot gets him, how is that possible. I have worked in a cinema for over 2 years and witnessed the release of Revenge of the Sith. I am shocked that all these hundreds of people like this garbage."
6,7,0.0035172093,0.050746907,0.9457359,9,My favourite movie,"Star Wars is a movie that has had great social impact, a fact that has often gone unnoticed.  A harbinger of a changing mood within the United States, Star Wars was one of the few movies rated General that was released in 1977. Where movies had for a decade been depicting ever more dark topics (Taxi Driver, The Exorcist) Star Wars was a lighthearted adventure.  While some may decry the move back to swashbuckling from social comment, I for one celebrate the fact that Star Wars made it possible for families to go to movies together once again."
7,9,0.031320803,0.13479337,0.83388597,1,A good movie to see if you are 12 or less.,"When I first saw Star Wars I find it great. Really. I was 11.It's amazing how 40 year old people can enjoy Star Wars. Why? What this movie has it for you to enjoy it so much after you have pubic hair.Maybe it's just like those things you like because reminds you of your childhood. No more than that.I'm rating it 1 because it is a great movie for children, not everyone. So with all those people rating 10 I'm giving some balance.It has the classic bad guy ""-I want to take over the universe"" the typical good guy ""-I need to save the universe"" and robots and laser guns.Rent it for you kid, but don't tell me it's a classic for adults."
8,12,0.59945047,0.28740653,0.11314295,1,the death of American cinema,"A Macdonald's meal of a movie, all fat sugar salt and caffeine, supersized with whiz bang special effects. Tastes great while you're eating it, but short on nourishment. They did it well enough that this junk food has squeezed pretty much everything good off the menu. The pic is just mediocre, but the trends it started have been horrid. Cornball plotting and dialog is one thing, but the simple-minded good vs. evil masquerading as some sort of authentic spirituality is vomit inducing. The sequel, with its Freudian undertones, has some real conflict and character development and is actually a pretty good popcorn movie. But the original may be the most over-rated movie of all time."
9,14,0.9114439,0.07190088,0.01665525,1,For Immature Minds Only,"After wanting to see this for nearly 2 decades I finally got around to watching it...pathetic. First off, I actually did feel excited during the yellow bordered title sequence, I mean the theme music kicked in and I thought I was really in for a something special. My God was I wrong. This film is unwatchable. We have this tin can going around beeping every friggin two seconds. Easily the most annoying thing I've ever had to endure since seeing Julie Andrews (a grown woman btw) actually skipping while singing a song about confidence in the Sound Of Music. Then the dialogue sets in and let me tell you, I've never in my life heard anything so juvenile. Like I cant even revert my brain back far enough to an age where this dialogue would seem even remotely interesting, fantastic, or fun. The whole movie, script, costumes, story is just one tacky, immature mess that absolutely stunned me in its awfulness and I'm being completely serious. Turkey/5 Recommended for fans of Sesame Street, bandwagons, and all things overrated."
10,15,0.8910104,0.08922359,0.019765945,1,Not that great. Not for an instant.,"Usually I loooove mindless action movies.  Usually I'm all for senseless violence in films.  And usually, I like little furry creatures.  But here's what I hate- STAR WARS STAR WARS STAR WARS!!!  This is the a silly, hugely over-rated, egotistical, boring, contrived, joyless, cheap and morally bankrupt piece of garbage.  There is simply nothing entertaining about this movie, or any of the trilogy.  The acting is silly and self-indulgent. The story is a very tired hairball hacked up from the throats of who knows how many fairy tales (save the princess, save the universe, etc.).  I wouldn't be so vehement if it weren't for the fact that Star Wars is soooo popular and it's evvveryone's favorite.  *hack*  And people say Titanic is over-rated?  Hello? People aren't going to be jumping up and down over Titanic 20 years from now.  People are still screaming about Star Wars, but this film/trilogy is anything but something that could be considered a classic.  Lucas is NOT a genius, Darth Vader is a candy-a** villian, and, gentle reader, Luke Skywalker is a putz."
11,16,0.005597729,0.04425641,0.9501457,9,"Though not as fresh and eye opening today,it's still a great film.","This film came along at just the right time for me.Upon it's initial release in 1977,I was 12 years old,which is the perfect age to see something this eye opening and different.I remember sitting and watching with just as much awe and amazement as perhaps 12 year olds from past generations seeing their first cowboy movie.I remember the thrills as though I saw it fresh yesterday.Upon seeing it again recently for the first time in many years,now well into my adulthood,I find,unfortunately,that the thrill that came with my first viewing did not come with me across the years.Despite this fact,I still saw a great film,one worthy of any home library.It's suspenseful,thrilling,and contains a great story line and interesting characters that we care about.It was great looking back on Harrison Ford when his hair wasn't quite so gray,Mark Hamill,whom we all thought would go on to be a great film star,though he has done little beyond this trilogy,Carrie Fisher, and,at least in voice,James Earl Jones(Darth Vader).Though the initial childhood thrill is gone,this is still a great film."
12,17,0.7098649,0.23085253,0.05928254,1,"Almost 40 Years Later, This Movie's Lame and Boring.","This movie might've been interesting for a 20th century audience, but that's probably only because the technology and visual effects were all new and thrilling back then. To those from the 21st century, who've already been exposed to much more exciting (improved) technological effects several times, this movie will be a waste of time. To me, besides the fact that the graphics that have been enjoyed by perhaps billions in the past were nothing in comparison to the graphics of the average 2010s sci-fi movie, this movie was horrible because of the fact that it lacked a reasonably good plot. The plot was all over the place, at times difficult to follow but mostly just downright boring. Even if you must watch this film because you're a devoted Star Wars fan, you're probably not enjoy this film.Lesson learnt: a movie doesn't need to be good just because it's at the top of the IMDb 250 list.If you're interested in sci-fi, I'd recommend watching more recent films, like (1) Interstellar or (2) The Matrix, or even something animated like (3) WALL·E."
13,18,0.75639534,0.21322264,0.030382026,1,It's good to know that science fiction in the cinema has caught up to where Edmond Hamilton was at in 1939.,"I really have nothing but contempt for the Star Wars franchise.  They threw an ""A"" budget at ""F"" material and created a juvenile hit which lowered the bar for science fiction in the cinema, aborting the prior (""2001"") trend upward in story qualities and thus depriving us of who knows how many *good* science fiction movies.  These days they reach back for sf classics like Heinlein's ""The Puppet Masters"" or ""Starship Troopers"", and trash them to the point where little more than the title remains.This is not generally a movie for the fan of adult level written science fiction.  You'll need to look elsewhere for a movie which is."
14,19,0.75761575,0.1704237,0.07196047,1,Highly overrated,This movie is really convincing...for children. The storyline is so unbelievably vague and the special effects only serve as filler material for an otherwise lackluster movie. I am definitely not looking forward to another Star Bores film. *yawn*
15,20,0.52077514,0.3146012,0.16462365,1,Gimme a freakin' break...,"$TAR WARS$ (c) is badly made, particularly the special effects, the editing, the acting, the cinematography, the dialogue and the excruciating final scene. Worst of all, it is badly imagined.  By that I mean it is trite, with a mindless plot and without any original characters.  All this nonsense about icons and popular culture doesn't alter the fact that it is junk. To say it is one of the best s-f movies ever made is not saying much. All but a few s-f moves are nothing but escapism, and many of those are better than this. I have no problem with people being passionate about movies they enjoy. I love Old Yeller, but I would hardly call it the greatest movie ever made. The second was better - the battle scenes at the beginning, the ""freezing"" of Han and the battle between Darth and Luke. The third one was unforgivable.  Ewoks and that cheesy ending that would make Frank Capra vomit."
16,21,0.86350846,0.11911493,0.017376672,1,Much ado about nothing,Hype personified this film is little more than a routine cowboy film set in space. Good versus evil at the most banal and simplistic level imaginable. The performances are bland and uninspiring throughout.In short it's present day Hollywood doing what Hollywood does best. Hype. Not worthy of inclusion in a top 1 Million.
17,22,0.6157412,0.28441846,0.09984039,1,Kiddie movie with decent SFX,"The problem with this movie is the script.  It just never rises above the level of a Flash Gordon episode.  The camera work is pedestrian.  The pacing is glacial except for the last ten minutes and the back and forth storytelling (a problem in all the Star Wars movies, but especially those directed by Mr. Lucas) never lets any momentum build.  Like ""Phantom Menace"" and espcially ""Attack of the Clones"", Lucas just doesn't know how to write a ""scene"".  What we get is like a quilt of little bits that are cobbled together.  Each with basically the same pace.  The saving grace of ""Star Wars"" is some of the acting.  Alec Guinness really brightens up the screen whenever he's on.  And Peter Cushing brings some genuine class and star quality.  I saw this movie again recently and I was stunned by what a big bore it is.  I can't imagine how anyone over the age of 20 could be thrilled by it."
18,23,0.046266194,0.13045686,0.8232769,7,A fun film,"Filled with great characters and a fun story, Star Wars is well deserving of its reputation as a classic. John Williams score alone makes this a film worth seeing. The characters are unforgettable and the special effects impressive for its time, but very outdated now. The different alien species are one of the best things about the film. The Cantina scene showing an array of Lucas' creations is particularly fun.I give this film a 7/10. Looking at it subjectively, it isn't a really good film. A lot of clichés, bad dialogue, cracker jack philosophy, and unimpressive acting. Yet, for some reason, I find it hard to say anything bad about this movie. My favorite film as a child, and one I still enjoy, mostly for nostalgia."
19,24,0.10218931,0.68605554,0.21175507,9,"An adventure story, replacing six-shooters or swords with laser guns and horses with rockers","The film turn on the endlessly renewed battle between good and evil, the former represented by the Jedi knights and the mystical Force which they are in touch with, and the latter by the Galactic Empire with its Nazi-like storm-troopers Luke Skywalker's simple farming life on a remote planet is dramatically changed when he intercepts a distress call from rebel leader Princess Leia Organa The message leads him to Ben Obi-Wan Kenobi and with the two droids C3PO and R2D2, and later Chewbacca and Han Solo, their journey to release the princess from the evil Empire begins Now a quarter of a century old, Lucas' project has benefited from improvements in special effects technology, but his vision has remained the same: a naive, even childlike belief in absolute good and evil, a preference for action over character and spectacle over everything"
20,25,0.59979695,0.33917773,0.061025396,1,"Yee-hah! - Ride 'em, spaceboy!","How do you hypnotize millions of film-goers into a quasi-psychotic state in which they honestly believe that have seen something, when they are just watching high-school kids masturbate? George Lucas seems to have that down to an art. I think he does it by rewriting every cliché in the book so that they all seem to have come out-takes from ""The Wizard of OZ"".This is definitely aimed primarily at the Mid-West US - listen to these voices - rather like hearing Johnny Carson make a serious pitch for the Jerry lewis Telethon. And these supposedly ""weird"" other worlds look an awful lot like Missouri and Oklahoma. And the big spacecraft - isn't that some Ford factory they closed down in Minnesota a few years back? What's alarming here is the sad lack of imagination. Really, you need to have taken too much meth and stayed up one night too many to be able to appreciate this film - to be allow Lucas and co. convince you that there's a film to watch here.An old Republic matinée western remade as a Saturday morning cartoon by/for survivors of one acid trip too many - or too few.Save your sanity; find something real to do."
21,26,0.7004172,0.23784943,0.06173343,1,"Gimics Gimics, and More Gimics","If this were a rating of technical achievement, ""Star Wars"" would rank very high  -- with state-of-the-art animation and groundbreaking visual imagery. But lack of any discernible character development (let alone acting) leaves an icy-cold dissatisfaction.  Indeed, the only character with an ounce of ""humanity"" is the robot.  It's ashame that today's younger generation is being so short-changed by the shallowness of our entertainment offerings."
22,27,0.8665916,0.1204333,0.012975209,1,Pathetic,"While it did spawn a nifty couple of sequels, the original Star Wars sucked. The rebels, so willing to die for a cause, seemed awful selfish in not wanting to sacrifice themselves to save the others.  How many ships did Vader blow up while in the narrow tunnels?  He'd pick off groups of three at a time, and each one would sit there and say, ""Oh no, he's locking on.  I'm being killed!"" None of them seemed to be willing to slam on the breaks and smash themselves into Darth's ship, killing the villain and saving the day in one move.  Give me a break."
23,28,0.6789647,0.26550254,0.05553267,1,Intergalactic rubbish,"Who hasn't heard about the ""legendary"" first Star Wars Film (now changed to Part 4 in the Star Wars series)? Who doesn't know the characters Darth Vader, Luke Skywalker or Han Solo? I am sure, hardly anyone doesn't. Despite these facts, I was surprised how bad this film was. Sure, you can't expect the SFX to be as good as in EPISODE I-III, but how about a plot? What about characters or good actors? The whole story occurs to me as just an introduction to the sequels. Why is there such an enormous cult about this crappy little SF-flick? I am not a trekkie, but I prefer every STAR TREK-film by far to this terrible no-brainer. The 8-best movie of all time? Nope, my Rating: 3 out of 10."
24,29,0.9318725,0.060454868,0.0076726195,1,what a load,I know everyone has seen this thing by now so it's not like I'm saying anything really new. Star Wars is one of the worst movies I had seen up until the time it came out. (I was there the first time ... definitely not impressed.) The special effects were poor even for the nineteen seventies.I mean the small models used for the fighter planes (spaceships?) are obvious. The hulls look as if they were made out of brick not metal. Of course there are no explosions in outer space but why let basic facts interfere with a (bad) story. . And what is an aristocracy doing in a society advanced enough for space travel? That arrogant princess should have been the first one to be zapped.
