id,title,year,genre,certificate,time,ImdbRating,metascore,votes,simple_desc
tt1375666,Inception,2010,"Action, Adventure, Sci-Fi",PG-13,148,8.8,74,2336445,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt0133093,The Matrix,1999,"Action, Sci-Fi",R,136,8.7,73,1903262,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
tt0816692,Interstellar,2014,"Adventure, Drama, Sci-Fi",PG-13,169,8.6,74,1810240,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
tt0848228,The Avengers,2012,"Action, Adventure, Sci-Fi",PG-13,143,8.0,69,1386515,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
tt0076759,Star Wars,1977,"Action, Adventure, Fantasy",PG,121,8.6,90,1358944,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
tt0482571,The Prestige,2006,"Drama, Mystery, Sci-Fi",PG-13,130,8.5,66,1326836,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
tt0080684,The Empire Strikes Back,1980,"Action, Adventure, Fantasy",PG,124,8.7,82,1286380,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
tt0499549,Avatar,2009,"Action, Adventure, Fantasy",PG-13,162,7.8,83,1245898,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
tt2015381,Guardians of the Galaxy,2014,"Action, Adventure, Comedy",PG-13,121,8.0,76,1173366,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
tt0434409,V for Vendetta,2005,"Action, Drama, Sci-Fi",R,132,8.2,62,1119713,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
tt4154796,Avengers: Endgame,2019,"Action, Adventure, Drama",PG-13,181,8.4,78,1119126,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
tt0103064,Terminator 2: Judgment Day,1991,"Action, Sci-Fi",R,137,8.6,75,1094507,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg."
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",PG-13,149,8.4,68,1071482,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
tt0371746,Iron Man,2008,"Action, Adventure, Sci-Fi",PG-13,126,7.9,79,1055420,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",PG,131,8.3,58,1050013,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
